S-150,"Vidyaman Nagar, Hegganahalli, 
Srigandhanagar Main Road","Handrahalli Main Road 
@ Vidyaman nagar","Hegganahalli Main 
Road","Maruthinagara- Byraveswara 
Industrial Area- Handra Hally- 
Hegganahalli- Doddanna Industrial 
Area",7,Dasarahalli -7
S-151,3rd Main (Rameshwara Temple Road),9th Cross Chamarajpet,Pampa Mahakavi Road,Chamarajpet,2,ORR -2
S-152,"8th Main (Lakshmipuram Main) Appurao 
Road, Hayavardhana Rao Road)",Bull Temple Road,"9th Cross (Idga 
Mydana Road) 
Chamarajpet","Kempegowda Nagar Tower- 
Gavipuram extension- Brindavana 
Nagar- Chamarajpet (1st Main 
Road)",6,ORR -6
S-153,Timber Yard Layout Road,Mysore Road,"1st Main Road 
(Kumaraswamy 
Temple Road)",Timber Yard Layout,3,ORR -3
S-154,Hosakerehalli Main Road,Mysore Road,Muktambika Nagar,"Avalahalli- Byatarayanapura- 
Aranganagudda",4,"ORR -3
Raja 
-1
Rajeshwarinagara"
S-155,"5th Main Road (Kumaraswamy Temple 
Road)",Muktambika Nagar,"B.M.S Engineering 
College","Pushpagiri Nagara- Javarana Doddi
BSK 2nd Stage- Pallavi Garden- 
Hanumanthanagar",11,"ORR -6
Raja 
-5
Rajeshwarinagara"
S-156,Girinagara Road,80ft Road,"Hosakere Halli Main 
Road",Girinagara,2,ORR -2
S-157,"Katriguppe Main Road -5thMain- 2nd 
Main (Padmanabhanagara)",Bull Temple Road,ORR,"Vidyapeeta Circle 
(Padmanabhanagara)",6,"ORR -4
Raja 
-2
Rajeshwarinagara"
S-158,Rangarao Road,Tippusulthan Road,Vanivilas Road,Shankarapuram,2,ORR -2
S-159,Pampa Mahakavi Road,Tippusulthan Road,Vanivilas Road,Shankarapuram,2,ORR -2
S-160,J.C. Road,H.P.O @ N.R. Road,Armugam Circle,Town Hall- Sajjan Rao Circle,4,ORR -4
S-161,Siddaiah Road,Kalasipalya Bus Stand,Bannerghatta Road,"Wilson Garden- Nandini Hotel 
Minarva Circle",5,ORR -5
S-162,Kavi Lakshmisha Road (Diagonal Road),K.R. Road Circle,"Lalbagh Fort Road 
(Minarva Circle)","Sajjan Rao Circle- 
Visweswarapuram",2,ORR -2
S-163,Gandhi Bazar Road,Bull Temple Road,K.R. Road,Gandhi Bazar Market,1,ORR -1
S-164,"Bungle rock Road- BP Wadia Road- 
Kanakana Palya Road",Bull Temple Road,"Ashoka Pillar @ 
Siddapura Road circle",K.R. Road- R.V. Road,3,ORR -3
S-165,Nagasandra Main Road (Tyagarajnagar),"14th Cross Road (Yediur 
Nagasandra Road)",B.P.Wadia Road,"N.R. Colony- Nethaji Road- 
Yediyur- Basavanagudi",6,ORR -6
S-166,South End Road,Mariyappa Road,"Nagasandra Main 
Road","Pai Viceroy- R.V. Road- 
Kanakapura Road",2,ORR -2
